t_index	term	df
1	aan	1
2	aaron	3
3	aback	1
4	abahd	1
5	abandon	37
6	abat	1
7	abc	100
8	abccom	1
9	abcnewscom	3
10	abdallah	2
11	abdel	3
12	abdomin	2
13	abduct	4
14	abdul	5
15	abdulkarim	11
16	abdullah	49
17	abdurahman	1
18	aberr	1
19	abhad	1
20	abhiyan	1
21	abhorr	2
22	abid	8
23	abidjan	87
24	abijan	4
25	abil	36
26	abl	135
27	ablaz	3
28	abnorm	1
29	aboard	144
30	abobo	3
31	abolish	4
32	abomin	1
33	abort	15
34	abound	5
35	abovo	2
36	abraham	13
37	abreast	1
38	abrego	1
39	abroad	58
40	abrog	2
41	abrupt	1
42	abruptli	4
43	abscam	1
44	absenc	6
45	absent	4
46	absente	7
47	absentia	3
48	absolut	54
49	absorb	9
50	abstain	1
51	abstent	1
52	absurd	2
53	abu	13
54	abund	2
55	abus	31
56	abuseofpow	1
57	abuzaakouk	1
58	abyan	1
59	abyssinian	1
60	academ	6
61	academi	4
62	academia	1
63	acced	1
64	acceler	4
65	accent	4
66	accentu	2
67	accept	156
68	access	54
69	accid	48
70	accident	3
71	accommod	11
72	accompani	36
73	accomplic	5
74	accomplish	12
75	accord	189
76	accordingli	1
77	accordion	1
78	account	190
79	accredit	1
80	accumul	2
81	accur	15
82	accuraci	1
83	accus	146
84	accustom	2
85	ace	34
86	acerb	2
87	achiev	32
88	acid	2
89	acknowledg	61
90	acolyt	1
91	acosta	1
92	acquaint	2
93	acquiesc	1
94	acquir	6
95	acquisit	1
96	acquit	8
97	acquitt	3
98	acrimoni	2
99	acrobat	5
100	acronym	1
101	acrosstheboard	1
102	act	203
103	action	119
104	actionc	1
105	activ	111
106	activist	20
107	actor	4
108	actress	2
109	actual	93
110	adam	9
111	adapt	5
112	add	20
113	addali	2
114	adden	1
115	addit	80
116	address	74
117	adem	1
118	aden	470
119	adenabyan	11
120	adenbas	1
121	adequ	7
122	adher	4
123	adiksa	2
124	adjac	4
125	adjam	2
126	adjoin	5
127	adjourn	5
128	adjust	7
129	adlai	1
130	adm	70
131	admen	3
132	administ	10
133	administr	178
134	administrationmedi	1
135	admir	47
136	admiralti	1
137	admiringli	1
138	admiss	2
139	admit	42
140	ado	4
141	adob	1
142	adolesc	2
143	adopt	17
144	adorn	1
145	adoubi	3
146	adra	1
147	adrain	1
148	adrenalin	1
149	adriat	1
150	adrift	8
151	adult	10
152	advanc	82
153	advani	1
154	advantag	21
155	adventist	1
156	adventur	2
157	advers	2
158	adversari	3
159	advertis	12
160	advic	6
161	advis	100
162	advisor	10
163	advisori	2
164	advoc	17
165	advocaci	2
166	aegi	6
167	aegiss	1
168	aerial	3
169	aeroflot	2
170	affabl	1
171	affair	55
172	affect	33
173	affection	1
174	affili	6
175	affirm	6
176	afflict	1
177	afford	7
178	affront	2
179	afghan	31
180	afghanarab	1
181	afghanbas	3
182	afghanistan	98
183	afi	2
184	afibia	4
185	afield	1
186	afir	2
187	aflcio	2
188	afloat	18
189	afoul	4
190	afraid	37
191	afredo	1
192	africa	106
193	african	73
194	africanamerican	1
195	aftehock	1
196	aftermath	17
197	afternoon	75
198	aftershock	67
199	afundament	1
200	agarw	3
201	agassi	204
202	agbayani	2
203	age	39
204	agenc	156
205	agenda	14
206	agent	168
207	agglomer	1
208	aggrav	31
209	aggress	25
210	agil	1
211	agit	1
212	ago	257
213	agon	7
214	agoni	3
215	agonizingli	1
216	agre	104
217	agreement	78
218	agricultur	17
219	agustin	1
220	ah	1
221	aha	1
222	ahead	62
223	ahemdabad	1
224	ahm	16
225	ahmad	1
226	ahmadabad	3
227	ahmar	1
228	ahmedabad	47
229	ahold	1
230	ahren	1
231	aid	229
232	aida	2
233	ailment	1
234	aim	38
235	air	252
236	aircondition	1
237	aircraft	37
238	airdrop	2
239	airfield	1
240	airforc	1
241	airlift	4
242	airlin	8
243	airlock	1
244	airman	1
245	airmen	11
246	airplan	9
247	airport	61
248	airqual	1
249	airstrik	7
250	airtim	3
251	airtoair	1
252	airtraff	1
253	airwav	1
254	airway	3
255	aisl	3
256	aj	1
257	ajax	1
258	ajnar	5
259	akaka	2
260	akan	4
261	akin	3
262	akishio	1
263	akouedo	1
264	ala	10
265	alabama	6
266	alabidin	4
267	alahmar	1
268	alain	1
269	alami	2
270	alamoudi	2
271	alan	7
272	alarm	22
273	alasan	1
274	alaska	3
275	alaskan	1
276	alassan	33
277	alayyam	1
